t_s,V_volts,i_medido_A,w_medido_rad_s,i_verdadeiro_A,w_verdadeiro_rad_s
0.027000,12.000000,8.620605,30.679616,8.653910,40.467458
0.027200,12.000000,8.649902,46.019424,8.642160,40.776187
0.027400,12.000000,8.657227,46.019424,8.630422,41.084474
0.027600,12.000000,8.679199,30.679616,8.618697,41.392319
0.027800,12.000000,8.693848,46.019424,8.606983,41.699722
0.028000,12.000000,8.605957,46.019424,8.595283,42.006685
0.028200,12.000000,8.554688,46.019424,8.583596,42.313206
0.028400,12.000000,8.510742,30.679616,8.571922,42.619288
0.028600,12.000000,8.569336,46.019424,8.560262,42.924929
0.028800,12.000000,8.525391,46.019424,8.548615,43.230132
0.029000,12.000000,8.525391,46.019424,8.536983,43.534896
0.029200,12.000000,8.503418,46.019424,8.525364,43.839223
0.029400,12.000000,8.510742,46.019424,8.513760,44.143111
0.029600,12.000000,8.532715,30.679616,8.502170,44.446563
0.029800,12.000000,8.496094,46.019424,8.490594,44.749579
0.030000,12.000000,8.474121,46.019424,8.479033,45.052158
0.030200,12.000000,8.437500,46.019424,8.467487,45.354303
0.030400,12.000000,8.408203,46.019424,8.455956,45.656012
0.030600,12.000000,8.430176,46.019424,8.444439,45.957288
0.030800,12.000000,8.430176,46.019424,8.432938,46.258129
0.031000,12.000000,8.474121,46.019424,8.421452,46.558538
0.031200,12.000000,8.415527,46.019424,8.409981,46.858515
0.031400,12.000000,8.430176,46.019424,8.398525,47.158059
0.031600,12.000000,8.371582,46.019424,8.387084,47.457172
0.031800,12.000000,8.342285,61.359232,8.375659,47.755855
0.032000,12.000000,8.334961,46.019424,8.364250,48.054107
0.032200,12.000000,8.327637,46.019424,8.352855,48.351930
0.032400,12.000000,8.408203,46.019424,8.341477,48.649324
0.032600,12.000000,8.305664,46.019424,8.330114,48.946290
0.032800,12.000000,8.342285,46.019424,8.318766,49.242827
0.033000,12.000000,8.283691,61.359232,8.307434,49.538938
0.033200,12.000000,8.327637,46.019424,8.296118,49.834622
0.033400,12.000000,8.298340,46.019424,8.284817,50.129880
0.033600,12.000000,8.269043,46.019424,8.273532,50.424712
0.033800,12.000000,8.261719,61.359232,8.262263,50.719120
0.034000,12.000000,8.232422,46.019424,8.251009,51.013103
0.034200,12.000000,8.254395,46.019424,8.239771,51.306663
0.034400,12.000000,8.217773,61.359232,8.228549,51.599800
0.034600,12.000000,8.181152,46.019424,8.217343,51.892514
0.034800,12.000000,8.166504,46.019424,8.206152,52.184806
0.035000,12.000000,8.203125,61.359232,8.194977,52.476677
0.035200,12.000000,8.232422,46.019424,8.183818,52.768128
0.035400,12.000000,8.173828,61.359232,8.172674,53.059158
0.035600,12.000000,8.159180,46.019424,8.161547,53.349769
0.035800,12.000000,8.159180,61.359232,8.150435,53.639961
0.036000,12.000000,8.181152,46.019424,8.139339,53.929735
0.036200,12.000000,8.137207,61.359232,8.128258,54.219091
0.036400,12.000000,8.107910,46.019424,8.117194,54.508029
0.036600,12.000000,8.137207,61.359232,8.106145,54.796552
0.036800,12.000000,8.107910,46.019424,8.095112,55.084658
0.037000,12.000000,8.129883,61.359232,8.084094,55.372349
0.037200,12.000000,8.078613,61.359232,8.073092,55.659625
0.037400,12.000000,8.027344,46.019424,8.062106,55.946487
0.037600,12.000000,8.012695,61.359232,8.051136,56.232936
0.037800,12.000000,8.093262,61.359232,8.040181,56.518972
0.038000,12.000000,8.078613,46.019424,8.029242,56.804595
0.038200,12.000000,8.012695,61.359232,8.018319,57.089806
0.038400,12.000000,7.998047,61.359232,8.007411,57.374606
0.038600,12.000000,8.041992,46.019424,7.996519,57.658996
0.038800,12.000000,7.954102,61.359232,7.985642,57.942976
0.039000,12.000000,7.946777,61.359232,7.974781,58.226546
0.039200,12.000000,7.983398,61.359232,7.963935,58.509707
0.039400,12.000000,7.939453,61.359232,7.953106,58.792460
0.039600,12.000000,7.939453,46.019424,7.942291,59.074805
0.039800,12.000000,7.924805,61.359232,7.931492,59.356744
0.040000,12.000000,7.932129,61.359232,7.920709,59.638275
0.040200,12.000000,7.954102,61.359232,7.909941,59.919401
0.040400,12.000000,7.902832,61.359232,7.899189,60.200122
0.040600,12.000000,7.910156,61.359232,7.888452,60.480437
0.040800,12.000000,7.814941,61.359232,7.877730,60.760349
0.041000,12.000000,7.866211,61.359232,7.867024,61.039857
0.041200,12.000000,7.829590,61.359232,7.856333,61.318962
0.041400,12.000000,7.807617,61.359232,7.845658,61.597664
0.041600,12.000000,7.807617,61.359232,7.834998,61.875965
0.041800,12.000000,7.814941,61.359232,7.824353,62.153864
0.042000,12.000000,7.844238,61.359232,7.813724,62.431363
0.042200,12.000000,7.763672,61.359232,7.803110,62.708461
0.042400,12.000000,7.792969,61.359232,7.792511,62.985160
0.042600,12.000000,7.770996,61.359232,7.781928,63.261460
0.042800,12.000000,7.763672,61.359232,7.771359,63.537362
0.043000,12.000000,7.792969,76.699039,7.760806,63.812865
